Subject,Supervoxel,Habitats,Count,raw-T1,raw-T2,raw-T1-original,raw-T2-original
sub21,19,3,69,1.0,5.0,1118.8695652173913,861.0
sub21,20,3,109,4.0,6.0,1207.8165137614678,907.8715596330276
sub21,21,4,97,6.0,9.0,1241.6494845360826,1146.360824742268
sub21,22,2,50,7.0,0.0,1281.38,593.42
sub21,23,2,128,6.0,5.0,1241.984375,829.4375
sub21,24,3,34,0.0,6.0,1050.8235294117646,906.3529411764706
sub21,25,2,128,5.0,2.0,1224.5703125,698.6953125
sub21,26,1,117,3.0,1.0,1172.4615384615386,620.5384615384615
sub21,27,4,81,9.0,9.0,1337.851851851852,1140.641975308642
sub21,28,2,155,8.0,5.0,1301.7935483870967,875.825806451613
sub21,29,1,71,0.0,2.0,1068.2394366197184,696.5915492957746
sub21,30,4,97,8.0,7.0,1314.7319587628865,940.2989690721649
sub21,31,1,89,1.0,0.0,1118.9101123595506,525.4831460674158
sub21,32,2,132,5.0,4.0,1228.5151515151515,766.0984848484849
sub21,33,2,73,6.0,2.0,1262.3561643835617,661.0410958904109
sub21,34,2,88,9.0,4.0,1367.4545454545455,790.8636363636364
sub21,35,3,55,4.0,9.0,1210.3636363636363,1063.5454545454545
sub21,36,2,91,7.0,3.0,1282.4835164835165,739.3846153846154
sub21,37,2,49,9.0,2.0,1331.204081632653,670.8163265306123
sub21,38,1,105,2.0,4.0,1143.1809523809525,812.1714285714286
sub21,39,3,141,3.0,5.0,1181.4964539007092,833.9858156028369
sub21,40,1,113,2.0,2.0,1130.1061946902655,687.6106194690266
sub21,41,1,51,0.0,4.0,1075.313725490196,815.7450980392157
sub21,42,3,14,0.0,8.0,1084.142857142857,1023.7857142857143
sub21,43,1,77,4.0,1.0,1206.6363636363637,636.7402597402597
sub21,44,4,110,6.0,6.0,1239.2181818181818,900.3454545454546
sub21,45,1,114,4.0,3.0,1199.0,761.1666666666666
sub21,46,3,46,3.0,7.0,1177.391304347826,981.1739130434783
